Sample Well ID,Sample Concentration,Comment
I19,64.535,Volume to be pipetted for this well (0.1821192993160495 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
M09,64.743,Volume to be pipetted for this well (0.18153420418209315 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
E10,65.855,Volume to be pipetted for this well (0.1784688934987663 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
K13,66.186,Volume to be pipetted for this well (0.17757636027802337 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
E08,66.84899999999999,Volume to be pipetted for this well (0.1758151802025648 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
M13,67.066,Volume to be pipetted for this well (0.17524630932754678 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
E17,68.03,Volume to be pipetted for this well (0.17276303074175003 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
M15,69.528,Volume to be pipetted for this well (0.16904080343690678 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
K11,69.661,Volume to be pipetted for this well (0.16871806292417932 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
M17,70.35600000000001,Volume to be pipetted for this well (0.16705140970722118 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
G06,70.86,Volume to be pipetted for this well (0.16586323710642473 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
I17,72.05199999999999,Volume to be pipetted for this well (0.16311926083052872 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
E19,72.12100000000001,Volume to be pipetted for this well (0.16296320047366583 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
E12,72.176,Volume to be pipetted for this well (0.16283901825206792 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
M07,73.193,Volume to be pipetted for this well (0.16057640732530784 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
G07,73.513,Volume to be pipetted for this well (0.15987742278727918 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
G05,73.751,Volume to be pipetted for this well (0.15936148637118486 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
G09,73.866,Volume to be pipetted for this well (0.15911338073486117 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
E06,73.92399999999999,Volume to be pipetted for this well (0.15898854203453894 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
C11,73.967,Volume to be pipetted for this well (0.15889611558345282 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
C03,76.3,Volume to be pipetted for this well (0.15403760132845684 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
A11,77.548,Volume to be pipetted for this well (0.15155863441173537 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
K04,78.111,Volume to be pipetted for this well (0.15046624651279916 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
A21,78.357,Volume to be pipetted for this well (0.1499938611912306 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
I13,78.74600000000001,Volume to be pipetted for this well (0.14925290149799675 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
K01,79.351,Volume to be pipetted for this well (0.1481149447563516 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
A17,79.431,Volume to be pipetted for this well (0.14796576879758855 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
E04,80.46600000000001,Volume to be pipetted for this well (0.1460625479253505 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
E02,80.825,Volume to be pipetted for this well (0.14541378263360663 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
C21,81.501,Volume to be pipetted for this well (0.14420766593491188 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
A19,83.17200000000001,Volume to be pipetted for this well (0.14131040471987272 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
G23,83.93799999999999,Volume to be pipetted for this well (0.14002083658606657 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
I05,84.69200000000001,Volume to be pipetted for this well (0.13877425236576363 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
C01,84.895,Volume to be pipetted for this well (0.13844241688393022 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
A05,86.319,Volume to be pipetted for this well (0.1361585396188702 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
C23,87.59299999999999,Volume to be pipetted for this well (0.1341781761255038 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
G01,88.16,Volume to be pipetted for this well (0.1333152107686168 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
A09,88.654,Volume to be pipetted for this well (0.13257234847114913 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
A13,88.835,Volume to be pipetted for this well (0.1323022342698402 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
I07,90.564,Volume to be pipetted for this well (0.1297763899713049 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
G13,90.912,Volume to be pipetted for this well (0.12927962184707467 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
A15,92.175,Volume to be pipetted for this well (0.12750820701232715 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
A03,93.185,Volume to be pipetted for this well (0.12612618963740146 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
A07,94.446,Volume to be pipetted for this well (0.12444221016624586 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
E01,96.667,Volume to be pipetted for this well (0.12158305296907171 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
G03,97.654,Volume to be pipetted for this well (0.12035419932989182 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
G15,97.762,Volume to be pipetted for this well (0.12022124119147781 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
G17,97.889,Volume to be pipetted for this well (0.12006526761292131 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
C19,97.915,Volume to be pipetted for this well (0.12003338590983255 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
E05,97.954,Volume to be pipetted for this well (0.1199855950891363 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
E03,99.066,Volume to be pipetted for this well (0.11863877598127769 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
I09,99.125,Volume to be pipetted for this well (0.1185681612243254 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
I03,99.361,Volume to be pipetted for this well (0.11828654080938451 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
C13,99.443,Volume to be pipetted for this well (0.11818900255785984 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
G11,99.84100000000001,Volume to be pipetted for this well (0.11771786121294113 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
G21,100.175,Volume to be pipetted for this well (0.11732537041538563 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
E21,101.068,Volume to be pipetted for this well (0.11628872621760851 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
E15,101.26,Volume to be pipetted for this well (0.11606823011417394 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
C15,103.00399999999999,Volume to be pipetted for this well (0.11410303465264704 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
C17,104.883,Volume to be pipetted for this well (0.11205885588094595 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
G19,105.85600000000001,Volume to be pipetted for this well (0.11102884089103363 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
I01,107.135,Volume to be pipetted for this well (0.10970335540543479 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
E09,113.125,Volume to be pipetted for this well (0.10389453243192269 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
E13,115.94200000000001,Volume to be pipetted for this well (0.10137024530680215 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
E07,119.12299999999999,Volume to be pipetted for this well (0.09866330583817781 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
E11,122.77799999999999,Volume to be pipetted for this well (0.09572618043428999 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
K10,124.49600000000001,Volume to be pipetted for this well (0.09440519359145076 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
E23,125.18700000000001,Volume to be pipetted for this well (0.09388410123544182 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
